cakavski,stokavski
"magar, magari",makar
mah,"zamah, mahovina"
maja,odjevni predmet od vune
majna,spusti (u pomorstvu)
makaruni,"žličnjaci od brašna, šuplja pašta"
makina,"stroj, mašina, čest izraz za automobil"
"malin, malinac","mlin, mlinac"
mandrać,lučica za barke.
mane,mene
maneštra,gusta juha od povrća
manig,drška alatke
marč,ožujak
marenda,doručak
mariner,"štap s kukom na kraju, služi kod pristajanja brodova i barki"
marun,kesten velike kvalitete
marunada,fešta od maruna
marvica,duga
maša,"misa, crkveni obred"
maškari,maškare
maslo,domaći maslac
mastić,prvo vino koje se pravi u maloj bačvi da bi se za glavnu berbu imalo što piti
mastit,"gazit, gnječiti"
mat,majka
mater,majka
matičica,motičica
matika,motika
meči,"kod izrade koševa okomiti nosači koji se opliću šibljem, lijeskom"
med,između
medaja,medalja
"medičina, medicina",lijek
megada,"mala drvena posuda s jednom uškom, ručkom"
meh,mijeh
mehko,"meko, mekano"
mej,između
mejada,"u maslinarstvu, količina koliko se maslina može odjednom samljeti"
mel,pijesak
melograf,"pisač i sakupljač notnih zapisa, pisač nota"
melta,žbuka
mendula,badem
Merika,Amerika - uglavnom se misli na SAD
merital,zaslužio
merlić,čipka
merlići,čipke
merlin,mrkva
mesec,mjesec u godini
Mesec,Mjesec
mesit tijesto,"izrađivati, raditi tijesto"
meštar,"učitelj, majstor"
mestit se,"premještati se, mijenjati mjesto"
mesto,"mjesto, umjesto"
meštrica,učiteljica
meštromo,vođa palube
mežnjar,"čovjek koji se brine o održavanju crkve, pomaže svećeniku"
mića,malena
mići,"malen, mali, sitan"
mićihan,sićušan
mićo,maleno
mićoj,malenoj
migavica,vrsta ribarske mreže
mihur,mjehur
mina,građevinski eksploziv
minat,minirati
mirakul,čudo
mirina,napuštena kuća
mirina,ruševina
mižerija,neimaština
"mjava, mjavica","dugačka, drvena motka kojom se klati kestenje"
"mjava, mjavica",dugačka drvena motka kojom se klati kesten
mladić,momak
mlado leto,proljeće
mlajarija,mlađarija
mlatit,"udarati, tući"
mobilija,namještaj
mola,"pusti, puštaj"
mona,budala
mona,pizda
mona,pička
monada,"tričarija, glupost, pizdarija"
mora,"šijavica, igra prstima uz glasno izvikivanje brojeva"
mora bit,treba biti
morda,možda
more tuć,ploviti morem
morete,možete"
more,može
morš,škrip
mot,"znak rukom, pokret"
motopatina,romobil
movit,micati
mrkač,muzgavac
mrzal,hladan
mrzlina,hladnoća
mrzlo,hladno
muć,hrpa pijeska
mučan,biti u tjeskobi
mučat,šutjeti
mučeć,šutke
muči,šuti
muči me,teško mi je
mudande,donje gaće
mudandi,gaćice
mujaka,otpadna voda kod preradbe maslina
muka,brašno
muke,brašno
mul,"pristanište, riva"
mularija,dječurlija
multa,novčana kazna
munjen,lud
munjesat,"bučna zabava, ludovati"
munjin,"lud, otkačen"
murka,talog iza mljevenja maslina
murva,dud
muštaće,brkovi
muzica,ovca koja daje mlijeko
nabadat,stavljati
nabandala na visoki taki,obukla visoke pete
nabavjen,nabavljen
nabikač,čekić kojim se nabijaju obrući na bačvi
nabumbat,napuhnuti
naćas,noćas
načrmunjen,namršten
"naćvi, naćve",dugačka drvena posuda u kojoj se mijesi tijesto
nadarbina,darovnica
nafeštat se,"naslaviti se, slaviti više puta u nekom razdoblju"
nahod,"nahoče, siroče"
najboje,najbolje
najden,nađen
naješkat,"staviti ješku, mamac"
